country_name,continent,year,happiness,GDP,life_expect,freedom,corruption,total_pop
Sri Lanka,Asia,2018,4.435,9.529,66.9,0.859,0.856,21670000
Namibia,Africa,2019,4.436,9.211,56.1,0.739,0.879,2446644
Namibia,Africa,2017,4.441,9.243,55.35,0.81,0.831,2364534
Pakistan,Asia,2019,4.443,8.548,56.9,0.685,0.776,223293280
Georgia,Asia,2016,4.448,9.47,64.325,0.606,0.561,3727505
Georgia,Asia,2017,4.451,9.517,64.45,0.821,0.59,3728004
Jordan,Asia,2019,4.453,9.164,67.6,0.726,NA,10698683
Cambodia,Asia,2016,4.461,8.233,60.9,0.958,0.84,15624584
Iraq,Asia,2017,4.462,9.208,61.75,0.628,0.757,39621162
Mauritania,Africa,2016,4.472,8.533,59.125,0.467,0.842,4051890
Kenya,Africa,2017,4.476,8.369,56.9,0.853,0.854,48948137
State of Palestine,Asia,2019,4.483,8.716,NA,0.653,0.829,NA
Chad,Africa,2018,4.486,7.355,51.625,0.65,0.763,15604210
Bangladesh,Asia,2018,4.499,8.542,64.175,0.901,0.701,163683958
Albania,Europe,2016,4.511,9.417,69.025,0.73,0.901,2876101
Ghana,Africa,2016,4.514,8.447,56.875,0.751,0.894,29554303
South Africa,Africa,2017,4.514,9.543,55.15,0.787,0.865,56641209
Tunisia,Africa,2016,4.521,9.283,66.75,0.614,0.811,11685667
Rep Congo,Africa,2016,4.522,6.929,52.825,0.637,0.875,5186824
Ivory Coast,Africa,2016,4.543,8.421,53.075,0.769,0.757,24213622
State of Palestine,Asia,2018,4.554,8.718,NA,0.655,0.814,NA
Bangladesh,Asia,2016,4.556,8.431,63.925,0.875,0.688,159784568
Egypt,Africa,2016,4.557,9.232,62.25,0.656,0.818,99784030
Chad,Africa,2017,4.559,7.365,51.25,0.615,0.792,15085884
Cambodia,Asia,2017,4.586,8.287,61.1,0.964,0.821,15830689
Senegal,Africa,2016,4.595,8.045,58.5,0.744,0.794,14751356
Comoros,Africa,2019,4.609,8.099,58.9,0.538,0.762,790986
Niger,Africa,2017,4.616,7.053,54.8,0.684,0.778,21737922
Kenya,Africa,2019,4.619,8.434,57.7,0.818,0.794,50951450
Turkmenistan,Asia,2018,4.621,9.569,62,0.858,NA,6065066
Laos,Asia,2017,4.623,8.883,59.9,0.891,0.592,6997917
Myanmar,Asia,2016,4.623,8.321,59.925,0.877,0.607,51892349
State of Palestine,Asia,2017,4.628,8.734,NA,0.632,0.831,NA
Jordan,Asia,2018,4.639,9.168,67.6,0.762,NA,10459865
Albania,Europe,2017,4.64,9.455,69.05,0.75,0.876,2873457
Burkina Faso,Africa,2017,4.647,7.59,54.15,0.614,0.727,19835858
Iran,Asia,2016,4.653,9.614,65.85,0.773,0.713,83306231
Mozambique,Africa,2018,4.654,7.165,49.95,0.897,0.691,29423878
Kenya,Africa,2018,4.656,8.404,57.3,0.821,0.844,49953304
Georgia,Asia,2018,4.659,9.565,64.575,0.775,0.755,3726549
Ukraine,Europe,2018,4.662,9.42,64.175,0.663,0.943,44622518
Mauritania,Africa,2017,4.678,8.568,59.35,0.527,0.777,4160015
Senegal,Africa,2017,4.683,8.089,58.8,0.687,0.825,15157793
Ukraine,Europe,2019,4.702,9.458,64.3,0.715,0.885,44386203
Iran,Asia,2017,4.717,9.627,66,0.731,0.715,84505076
Sierra Leone,Africa,2016,4.733,7.357,50.5,0.681,0.863,7493913
Nepal,Asia,2017,4.737,8.159,60.75,0.845,0.77,28183426
Burkina Faso,Africa,2019,4.741,7.654,54.9,0.678,0.729,20951639
Tunisia,Africa,2018,4.741,9.31,66.85,0.65,0.84,11933041
Mali,Africa,2017,4.742,7.675,53.8,0.753,0.863,19311355
Algeria,Africa,2019,4.745,9.361,66.4,0.385,0.741,42705368
Guinea,Africa,2019,4.768,7.842,53.3,0.691,0.756,12877539
Senegal,Africa,2018,4.769,8.122,59.1,0.629,0.805,15574909
South Africa,Africa,2016,4.77,9.536,54.625,0.774,0.813,56422274
Gabon,Africa,2017,4.782,9.58,56.95,0.652,0.868,2140215
Gabon,Africa,2018,4.783,9.565,57.275,0.719,0.823,2192012
Jordan,Asia,2017,4.808,9.173,67.6,0.766,NA,10215381
Cameroon,Africa,2016,4.816,8.207,52.475,0.713,0.879,23711630
Gabon,Africa,2016,4.832,9.601,56.625,0.699,0.817,2086206
Namibia,Africa,2018,4.834,9.237,55.725,0.754,0.846,2405680
Bulgaria,Europe,2016,4.838,9.94,66,0.7,0.936,7127822
Benin,Africa,2017,4.853,7.984,54.9,0.727,0.767,11596779
Kyrgyzstan,Asia,2016,4.857,8.5,64.225,0.814,0.917,6079500
Laos,Asia,2018,4.859,8.929,60.2,0.907,0.634,7105006
Turkiye,Asia,2019,4.872,10.245,68.4,0.631,0.76,83481684
Guinea,Africa,2017,4.874,7.776,52.4,0.738,0.75,12240789
Dem Rep Congo,Africa,2017,4.884,8.312,55.55,0.778,0.763,84283273
South Africa,Africa,2018,4.884,9.546,55.675,0.753,0.841,57339635
Iraq,Asia,2018,4.886,9.21,62.225,0.598,0.887,40590700
Georgia,Asia,2019,4.892,9.615,64.7,0.811,0.647,3720161
Morocco,Africa,2018,4.897,8.996,63.6,0.773,0.843,35927511
State of Palestine,Asia,2016,4.907,8.738,NA,0.608,0.812,NA
Nepal,Asia,2018,4.91,8.221,61.025,0.77,0.742,28506712
Gabon,Africa,2019,4.914,9.58,57.6,0.736,0.846,2242785
Gambia,Africa,2018,4.922,7.607,56.7,0.719,0.691,2444916
Burkina Faso,Africa,2018,4.927,7.626,54.525,0.721,0.757,20392723
Mozambique,Africa,2019,4.932,7.159,50.4,0.87,0.682,30285595
Cameroon,Africa,2019,4.937,8.231,54.5,0.712,0.817,25782341
Uganda,Africa,2019,4.948,7.719,58.2,0.704,0.826,42949080
Ghana,Africa,2019,4.967,8.584,58,0.787,0.857,31522290
